Model,Accuracy,Balanced Accuracy,Precision,Recall,F1-Score,MCC,ROC-AUC
Logistic Regression,0.8860759493670886,0.895500725689405,0.9583333333333334,0.8679245283018868,0.9108910891089109,0.7612028813758223,0.9542815674891147
Decision Tree,0.8607594936708861,0.8766328011611031,0.9565217391304348,0.8301886792452831,0.8888888888888888,0.7176899404337289,0.8766328011611031
Random Forest,0.8860759493670886,0.895500725689405,0.9583333333333334,0.8679245283018868,0.9108910891089109,0.7612028813758223,0.9401306240928883
Gradient Boosting,0.8860759493670886,0.895500725689405,0.9583333333333334,0.8679245283018868,0.9108910891089109,0.7612028813758223,0.9455732946298985
Support Vector Machine,0.8860759493670886,0.895500725689405,0.9583333333333334,0.8679245283018868,0.9108910891089109,0.7612028813758223,0.9274310595065313
